,text,label
2,@VirginAmerica I didn't today... Must mean I need to take another trip!,2
8,"@virginamerica Well, I didn't…but NOW I DO! :-D",2
18,I ❤️ flying @VirginAmerica. ☺️👍,2
20,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,2
21,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,2
24,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,2
29,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2
32,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2
37,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",2
39,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,2
43,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,2
48,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,2
51,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,2
56,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,2
58,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,2
60,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,2
69,@VirginAmerica everything was fine until you lost my bag,2
70,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2
72,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",2
73,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,2
87,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2
97,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,2
117,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,2
125,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",2
137,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",2
