,text,label
0,@VirginAmerica What @dhepburn said.,3
3,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",3
4,@VirginAmerica and it's a really big bad thing about it,3
7,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",3
12,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,3
14,@VirginAmerica Thanks!,3
25,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,3
33,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",3
40,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",3
46,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,3
49,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,3
64,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,3
66,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,3
71,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,3
78,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,3
80,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,3
86,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,3
89,@VirginAmerica Why is the site down?  When will it be back up?,3
94,@VirginAmerica why is flight 345 redirected?,3
96,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,3
98,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,3
99,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,3
102,@VirginAmerica check out new music http://t.co/maRcnOCWzn,3
106,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,3
120,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,3
