,text,label
4,@VirginAmerica and it's a really big bad thing about it,1
6,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",1
13,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,1
36,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,1
38,@VirginAmerica when can I book my flight to Hawaii??,1
43,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,1
48,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,1
61,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,1
69,@VirginAmerica everything was fine until you lost my bag,1
71,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,1
73,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,1
77,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,1
78,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,1
80,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,1
84,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,1
90,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",1
104,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,1
105,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",1
116,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",1
117,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,1
120,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,1
122,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,1
