,text,label
10,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,2
17,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2
21,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,2
22,@VirginAmerica I love the hipster innovation. You are a feel good brand.,2
26,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,2
31,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,2
32,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2
44,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,2
47,@VirginAmerica wow this just blew my mind,2
50,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2
54,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,2
55,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,2
65,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,2
67,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2
75,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,2
83,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,2
87,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2
92,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,2
93,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",2
94,@VirginAmerica why is flight 345 redirected?,2
98,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,2
99,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,2
106,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,2
108,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2
114,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,2
115,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2
121,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2
126,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2
129,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,2
133,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,2
134,@VirginAmerica Another delayed flight? #likingyoulessandless,2
142,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,2
148,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,2
153,@VirginAmerica is your website ever coming back online?,2
155,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,2
156,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,2
157,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,2
158,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,2
160,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",2
