,text,label
0,@VirginAmerica What @dhepburn said.,0
2,@VirginAmerica I didn't today... Must mean I need to take another trip!,0
3,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",0
11,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,0
20,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,0
25,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,0
33,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",0
34,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,0
37,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",0
39,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,0
40,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",0
46,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,0
63,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",0
68,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,0
70,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,0
72,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",0
85,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,0
86,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,0
89,@VirginAmerica Why is the site down?  When will it be back up?,0
91,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",0
95,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",0
96,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,0
100,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,0
